ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w,entry_price,target_price,stop_loss,risk_pct,reward_pct,risk_reward,position_quality,plan_reason
4502.T,WATCH,74,79,DEFENSIVE,30,-5,5648.0,2.6,11.75,5.87,66.6,0.91,1.37,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,5369.6,5177.46,5062.93,5890.0,5648.0,5823.66,5494.3,2.72,3.11,1.14,LOW,WATCH score 74; ATR-based plan; R/R 1.14
ALV.DE,WATCH,74,79,DEFENSIVE,30,-5,427.1,0.64,4.71,9.79,60.9,0.84,0.65,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,420.25,401.02,378.4,427.1,427.1,435.71,419.57,1.76,2.01,1.14,LOW,WATCH score 74; ATR-based plan; R/R 1.14
BAC,WATCH,74,79,DEFENSIVE,30,-5,61.28,-0.55,6.15,16.44,64.0,0.83,1.31,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,59.7,55.85,53.2,61.62,61.28,63.27,59.54,2.84,3.25,1.14,LOW,WATCH score 74; ATR-based plan; R/R 1.14
BNP.PA,WATCH,74,79,DEFENSIVE,30,-5,105.92,2.08,4.75,18.7,55.5,0.92,1.57,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,102.43,98.01,86.6,106.78,105.92,109.75,102.56,3.17,3.62,1.14,LOW,WATCH score 74; ATR-based plan; R/R 1.14
CNR.TO,WATCH,74,79,DEFENSIVE,30,-5,183.92,2.05,11.47,16.88,73.2,1.46,1.34,TREND,32,21,12,18,0,-4,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,175.49,167.59,147.2,183.92,183.92,188.8,179.65,2.32,2.65,1.14,LOW,WATCH score 74; ATR-based plan; R/R 1.14
ISP.MI,WATCH,74,79,DEFENSIVE,30,-5,6.44,2.5,8.17,11.48,59.3,0.87,1.39,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,6.24,5.98,5.74,6.45,6.44,6.62,6.28,2.48,2.83,1.14,LOW,WATCH score 74; ATR-based plan; R/R 1.14
JNJ,WATCH,74,79,DEFENSIVE,30,-5,259.27,1.42,7.58,15.06,46.5,0.93,1.95,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,255.55,241.15,224.26,267.24,259.27,269.48,251.72,2.91,3.94,1.35,C,WATCH score 74; ATR-based plan; R/R 1.35
MFC.TO,WATCH,74,79,DEFENSIVE,30,-5,60.69,0.03,7.32,14.94,66.3,0.81,0.98,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,59.04,56.29,51.0,60.86,60.69,62.17,59.4,2.13,2.43,1.14,LOW,WATCH score 74; ATR-based plan; R/R 1.14
MRK,WATCH,74,79,DEFENSIVE,30,-5,130.48,2.36,8.19,18.37,51.5,0.86,2.17,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,126.47,120.72,110.28,130.48,130.48,136.22,125.46,3.85,4.4,1.14,LOW,WATCH score 74; ATR-based plan; R/R 1.14
ZURN.SW,WATCH,74,79,DEFENSIVE,30,-5,623.0,0.81,5.77,14.56,60.3,0.92,0.74,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,611.93,585.11,569.14,624.4,623.0,636.1,611.54,1.84,2.1,1.14,LOW,WATCH score 74; ATR-based plan; R/R 1.14
HON,WATCH,73,78,DEFENSIVE,30,-5,246.27,5.7,3.25,10.74,66.7,1.26,2.51,RECOVERING,26,26,12,18,-4,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,228.51,231.88,226.21,260.14,246.27,258.11,235.91,4.21,4.81,1.14,LOW,WATCH score 73; ATR-based plan; R/R 1.14
HSBA.L,WATCH,73,78,DEFENSIVE,30,-5,1552.8,1.69,9.15,16.66,71.4,1.11,0.96,TREND,32,21,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,1476.02,1420.96,1251.8,1552.8,1552.8,1609.81,1502.92,3.21,3.67,1.14,LOW,WATCH score 73; ATR-based plan; R/R 1.14
AAPL,WATCH,71,76,DEFENSIVE,30,-5,321.66,-1.3,9.75,20.2,63.0,0.63,2.38,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,311.49,305.47,275.6,333.74,321.66,333.58,311.23,3.24,3.71,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
